ParticipantID,TimeFullScreenMessageAppeared,ExperimentRoundNumber,WhileInRound
0,100.1902999999998,2,0
0,2805.1201,62,0
1,295.59680000019074,2,0
2,11.94470000000298,2,0
3,10.224799999713898,2,0
4,7.397100000023842,2,0
5,62.415,2,0
6,1871.1109000000004,37,0
6,200.6022999999998,2,0
7,19.91389999997616,2,0
8,20.87510000014305,2,0
8,2428.8252000000475,62,0
9,2250.5184000000954,62,0
9,36.72040000009537,2,0
10,199.2011999999881,2,0
10,2553.821599999994,62,0
10,47.226,2,0
11,21.91489999999851,2,0
11,2506.701799999997,62,0
12,1021.2255,2,0
12,1135.5784000000003,4,0
12,44.70969999999925,2,0
12,6.8155,2,0
13,84.03639999985695,2,0
14,14.778100000000558,2,0
14,21.537900000000374,2,0
15,242.65569999999556,2,0
15,3190.5108999999984,62,0
16,180.192,2,0
17,44.4715,2,0
18,13.86340000000596,2,0
19,30.862700000047685,2,0
20,7.5787999999970195,2,0
21,16.716,2,0
21,19.93209999999404,2,0
21,30.46369999999553,2,0
21,3092.5488999999984,22,0
21,4103.242399999998,50,1
22,2170.0025,62,0
22,350.52709999996426,2,0
22,49.857,2,0
23,825.9182000000179,22,0
23,9.586100000023842,2,0
24,12.78539999997616,2,0
24,2004.039099999994,62,0
25,7.239400000095367,2,0
26,11.6165,2,0
26,2348.418800000001,62,0
26,537.5694000000004,9,0
26,728.7240999999997,17,0
27,117.459,2,0
27,896.3857000000002,22,0
27,9.7895,2,0
27,907.9724000000004,22,0
28,30.90929999995232,2,0
29,18.91420000004768,2,0
29,2068.943,62,0
30,14.941,2,0
30,2034.173,51,0
31,78.21240000003576,2,0
32,14.2675,2,0
33,2342.903400000036,62,0
33,8.058699999988079,2,0
34,13.52,2,0
35,2312.799600000143,62,0
35,80.54329999995231,2,0
36,18.4915,2,0
36,22.46620000000112,2,0
36,5422.9135000000015,2,0
37,113.5095,2,0
37,116.68879999999702,2,0
37,468.7351000000089,2,0
37,495.16790000000594,2,0
37,495.9655,2,0
37,6.3445,2,0
38,2176.9516999999883,62,0
38,43.73680000001192,2,0
39,14.620299999999988,2,0
40,103.284,2,0
41,11.000700000000188,2,0
42,2455.561300000072,62,0
42,25.471700000047683,2,0
43,49.4505,2,0
44,120.909,2,0
44,3173.731700000048,62,0
45,2332.189100000143,62,0
45,82.71210000014305,2,0
45,88.14190000009536,2,0
46,2568.11,62,0
46,27.24619999998808,2,0
47,112.88370000004768,2,0
47,3061.704300000012,62,0
48,1130.664900000006,2,0
48,3270.888799999997,62,0
49,14.01260000002384,2,0
49,2180.812300000012,62,0
49,940.647100000024,22,0
50,55.075599999427794,2,0
51,2622.675200000048,62,0
51,43.24480000007153,2,0
52,2341.241800000012,62,0
52,40.55169999998808,2,0
53,14.32670000000298,2,0
54,4098.692400000095,2,0
54,4102.454,2,0
54,6158.584799999952,61,0
54,6517.5187999999525,62,0
55,2517.974200000018,62,0
55,81.38270000001788,2,0
56,31.73820000000112,2,0
57,21.94659999990463,2,0
58,79.48830000001192,2,0
59,11.41289999999106,2,0
59,1925.900799999997,42,0
59,2241.078199999988,44,0
59,2748.671199999988,62,0
