ParticipantID,DeadlinePresentationOrder,BlockNumber,ExperimentRoundNumber,ExperimentGambleNumber,LotteryLeft,LotteryRight,GambleChoice,GambleResponseTime,GambleSecondaryChoices,GambleSecondaryChoicesTimes,GambleDeadline,FullScreenExited,ReproducedTime,MissedDeadline,SubjectiveDifficulty,ResponseTimeSubjectiveDifficulty,ResponseTimeSubmitAnswersQuestionnaire,Counter,Age,Sex,SubjectiveDifficulty3Lev,lot_0_val,lot_0_prob,lot_0_ev,lot_1_val,lot_1_prob,lot_1_ev,dX,dP,dEV,dEV_bin,RiskyChoice,BlockRoundNumber,AbsoluteError,RiskAttitudeScore
0,Random,1,13,7,0,1,Right,2.778,,,6,0,5.2185,0,2,2.074599999999628,2.8105,0,50,Male,1,61.0,62.0,37.82,69.0,61.0,42.09,-8.0,1.0,-4.269999999999996,2,1,13,0.13025,0.4833333333333333
0,Random,2,33,12,0,1,Left,2.3259000000003724,,,8,0,7.631199999999255,0,1,1.7362999999998137,3.896099999999628,0,50,Male,1,72.0,98.0,70.56,73.0,77.0,56.21,-1.0,21.0,14.35,7,0,13,0.0461000000000931,0.4833333333333333
0,Random,3,55,13,1,0,Right,2.5867999999998137,,,8,0,7.627799999999814,0,3,2.438099999999628,5.741599999999628,0,50,Male,2,73.0,49.0,35.77,81.0,42.0,34.02,-8.0,7.0,1.75,4,0,15,0.0465250000000232,0.4833333333333333
0,Random,3,51,15,1,0,Right,2.599,,,8,0,6.8182000000001866,0,3,1.6145999999996274,2.455,0,50,Male,2,36.0,75.0,27.0,52.0,61.0,31.72,-16.0,14.0,-4.719999999999999,2,0,11,0.1477249999999766,0.4833333333333333
0,Random,1,4,16,0,1,Right,4.305299999999813,,,8,0,7.1212000000001865,0,4,2.6314000000003723,3.439300000000745,0,50,Male,3,23.0,12.0,2.76,26.0,6.0,1.56,-3.0,6.0,1.1999999999999995,4,1,4,0.1098499999999766,0.4833333333333333
0,Random,1,7,17,1,0,Right,3.385299999999814,,,8,0,7.962600000000559,0,3,2.3241000000005587,4.405600000000558,0,50,Male,2,31.0,38.0,11.78,46.0,29.0,13.34,-15.0,9.0,-1.5600000000000005,3,0,7,0.0046749999999301,0.4833333333333333
0,Random,2,28,2,0,1,Right,4.580800000000745,,,8,0,8.308200000000186,0,2,2.810799999999814,3.633200000000186,0,50,Male,1,40.0,63.0,25.2,57.0,58.0,33.059999999999995,-17.0,5.0,-7.859999999999996,1,1,8,0.0385250000000232,0.4833333333333333
0,Random,1,5,21,1,0,Right,3.7882000000001854,,,8,0,7.741099999999627,0,3,1.463,2.592099999999628,0,50,Male,2,26.0,59.0,15.34,36.0,33.0,11.88,-10.0,26.0,3.459999999999999,5,0,5,0.0323625000000465,0.4833333333333333
0,Random,3,46,22,0,1,Left,2.477399999999441,,,8,0,7.0885,0,3,1.5077000000001863,2.3485,0,50,Male,2,24.0,95.0,22.8,53.0,71.0,37.63,-29.0,24.0,-14.829999999999998,0,0,6,0.1139375,0.4833333333333333
0,Random,1,18,32,1,0,Right,2.0116000000005587,,,8,0,7.7373000000007455,0,1,3.828399999999441,5.020399999999441,0,50,Male,1,59.0,31.0,18.29,60.0,1.0,0.6,-1.0,30.0,17.689999999999998,7,0,18,0.0328374999999068,0.4833333333333333
