"ParticipantID","Condition","random_intercept","random_slope_T_frac_c","fixed_slope_T_frac_c","participant_slope_T_frac_c"
"0","Random",1.26736589927989,0.33072686258638,-2.85462104368597,-2.52389418109959
"1","Random",-1.34375991547246,-0.0799631703622269,-2.85462104368597,-2.9345842140482
"2","Random",-0.789895761168655,-0.724927769929122,-2.85462104368597,-3.5795488136151
"3","Random",-2.0989451360409,-0.552008904296148,-2.85462104368597,-3.40662994798212
"4","Random",0.677903219936538,0.930189786908808,-2.85462104368597,-1.92443125677717
"5","Random",-0.835543303174986,-0.145467241240711,-2.85462104368597,-3.00008828492669
"6","Random",-1.08430425338174,-1.71093997102526,-2.85462104368597,-4.56556101471123
"8","Random",0.40930739626595,1.1139680369398,-2.85462104368597,-1.74065300674617
"9","Random",0.374832612553633,0.348424187673368,-2.85462104368597,-2.50619685601261
"10","Random",-2.23250389494851,-0.821474590401945,-2.85462104368597,-3.67609563408792
"11","Random",0.1434806903105,-0.0334747465577362,-2.85462104368597,-2.88809579024371
"12","Random",1.03600652998652,0.359924796998198,-2.85462104368597,-2.49469624668778
"13","Random",1.43003102658214,-0.0753693510802395,-2.85462104368597,-2.92999039476621
"14","Random",-0.779394376423434,-0.521168736955921,-2.85462104368597,-3.3757897806419
"15","Block",-1.82102728993591,-1.09278779158174,-2.85462104368597,-3.94740883526772
"16","Block",-0.570647396480032,-0.193174146252611,-2.85462104368597,-3.04779518993859
"17","Block",0.956550718367874,-0.055839214521944,-2.85462104368597,-2.91046025820792
"20","Block",0.726552425566962,0.704965587499567,-2.85462104368597,-2.14965545618641
"21","Block",-0.715411400251247,0.137162767463368,-2.85462104368597,-2.71745827622261
"22","Block",-0.478293567564564,0.216374804322209,-2.85462104368597,-2.63824623936377
"23","Block",1.66954488976327,0.685060742797607,-2.85462104368597,-2.16956030088837
"24","Block",-2.15208599009858,-1.39266248470503,-2.85462104368597,-4.247283528391
"25","Block",-2.2101782729159,-0.578731186924,-2.85462104368597,-3.43335223060997
"26","Block",1.33678676481482,0.558496163318355,-2.85462104368597,-2.29612488036762
"28","Block",3.37234979111598,2.67934489630003,-2.85462104368597,-0.175276147385947
"29","Block",-2.16310453081896,-1.26077847315815,-2.85462104368597,-4.11539951684412
"31","Random",1.99856274546061,0.841741254120075,-2.85462104368597,-2.0128797895659
"32","Random",-0.530988815606098,0.431008292320389,-2.85462104368597,-2.42361275136559
"33","Random",0.954192382163906,0.380383257202998,-2.85462104368597,-2.47423778648298
"34","Random",0.49312053134443,-0.0548193812407087,-2.85462104368597,-2.90944042492668
"35","Random",-0.319501427707434,-0.336074877905835,-2.85462104368597,-3.19069592159181
"37","Random",1.48515058988721,0.347157649672408,-2.85462104368597,-2.50746339401357
"38","Random",-0.630175147901542,-0.47347674197416,-2.85462104368597,-3.32809778566013
"41","Random",-1.24455707091873,0.0173884313299262,-2.85462104368597,-2.83723261235605
"42","Random",-1.2728062925132,-0.810754635575964,-2.85462104368597,-3.66537567926194
"43","Random",2.99628938447308,1.1042926994717,-2.85462104368597,-1.75032834421427
"45","Block",0.693646709734398,-1.28215283981551,-2.85462104368597,-4.13677388350149
"46","Block",-0.906762071324664,-0.273674721444905,-2.85462104368597,-3.12829576513088
"47","Block",1.08875758535488,0.656753528799787,-2.85462104368597,-2.19786751488619
"48","Block",1.34579546303745,0.0686407581458915,-2.85462104368597,-2.78598028554008
"49","Block",-0.164928653860074,-0.369150148983803,-2.85462104368597,-3.22377119266978
"50","Block",-1.38390252103123,-1.09255041926519,-2.85462104368597,-3.94717146295116
"51","Block",0.355201824471631,0.485118794329007,-2.85462104368597,-2.36950224935697
"52","Block",-1.84517085848007,-0.956872402039146,-2.85462104368597,-3.81149344572512
"53","Block",0.18797762824954,-0.282535268611953,-2.85462104368597,-3.13715631229793
"55","Block",-0.991715955715044,0.0470653049633712,-2.85462104368597,-2.8075557387226
"56","Block",-1.13852134797236,-0.41694966861564,-2.85462104368597,-3.27157071230161
"57","Block",2.66138711803923,2.16507999418618,-2.85462104368597,-0.689541049499792
"58","Block",2.04333132494608,0.978510287116584,-2.85462104368597,-1.87611075656939
