"TargetTime","TT_c","Condition","T_frac_c","TF","emmean","SE","lower.CL","upper.CL"
"6 s",-2,"Block",-0.334175381871127,0.0272999999999883,-0.708048530137509,0.379233853485497,-1.47054929722323,0.0544522369482072
"6 s",-2,"Block",-0.324406863352614,0.037068518518502,-0.715973942997945,0.377105023372951,-1.4741944102663,0.0422465242704075
"6 s",-2,"Block",-0.3146383448341,0.0468370370370156,-0.723899355858381,0.375040625051548,-1.47796907210814,0.0301703603913791
"6 s",-2,"Block",-0.304869826315586,0.0566055555555292,-0.731824768718817,0.373041728211854,-1.48187543350578,0.0182258960681497
"6 s",-2,"Block",-0.295101307797073,0.0663740740740428,-0.739750181579253,0.371109391282149,-1.48591562257191,0.00641525941340615
"6 s",-2,"Block",-0.285332789278559,0.0761425925925564,-0.747675594439689,0.369244659230997,-1.49009174035665,-0.00525944852273086
"6 s",-2,"Block",-0.275564270760046,0.08591111111107,-0.755601007300124,0.367448561305813,-1.49440585630061,-0.0167961582996382
"6 s",-2,"Block",-0.265795752241532,0.0956796296295837,-0.76352642016056,0.365722108715207,-1.49886000357498,-0.028192836746138
"6 s",-2,"Block",-0.256027233723018,0.105448148148097,-0.771451833020996,0.364066292263883,-1.50345617432614,-0.03944749171585
"6 s",-2,"Block",-0.246258715204505,0.115216666666611,-0.779377245881432,0.362482079949801,-1.50819631484443,-0.050558176918436
"6 s",-2,"Block",-0.236490196685991,0.124985185185125,-0.787302658741868,0.36097041453419,-1.51308232067834,-0.0615229968053974
"6 s",-2,"Block",-0.226721678167477,0.134753703703638,-0.795228071602304,0.359532211095925,-1.51811603171726,-0.0723401114873434
"6 s",-2,"Block",-0.216953159648964,0.144522222222152,-0.803153484462739,0.358168354582525,-1.52329922726745,-0.0830077416580339
"6 s",-2,"Block",-0.20718464113045,0.154290740740665,-0.811078897323175,0.356879697370795,-1.52863362114731,-0.0935241734990367
"6 s",-2,"Block",-0.197416122611937,0.164059259259179,-0.819004310183611,0.355667056850752,-1.53412085682965,-0.103887763537575
"6 s",-2,"Block",-0.187647604093423,0.173827777777693,-0.826929723044047,0.35453121304699,-1.53976250265901,-0.114096943429087
"6 s",-2,"Block",-0.177879085574909,0.183596296296206,-0.834855135904483,0.353472906292057,-1.54556004717375,-0.12415022463522
"6 s",-2,"Block",-0.168110567056396,0.19336481481472,-0.842780548764919,0.352492834966648,-1.55151489456236,-0.134046202967474
"6 s",-2,"Block",-0.158342048537882,0.203133333333233,-0.850705961625355,0.351591653321555,-1.55762836028424,-0.143783562966467
"6 s",-2,"Block",-0.148573530019369,0.212901851851747,-0.85863137448579,0.350769969396232,-1.56390166688464,-0.153361082086939
"6 s",-2,"Block",-0.138805011500855,0.222670370370261,-0.866556787346226,0.350028343048631,-1.57033594003342,-0.16277763465903
"6 s",-2,"Block",-0.129036492982341,0.232438888888774,-0.874482200206662,0.349367284110571,-1.57693220481616,-0.172032195597169
"6 s",-2,"Block",-0.119267974463828,0.242207407407288,-0.882407613067098,0.34878725068229,-1.58369138230511,-0.18112384382909
"6 s",-2,"Block",-0.109499455945314,0.251975925925802,-0.890333025927534,0.34828864757915,-1.59061428643611,-0.190051765418958
"6 s",-2,"Block",-0.0997309374268004,0.261744444444315,-0.89825843878797,0.347871824942471,-1.59770162121547,-0.198815256360465
"6 s",-2,"Block",-0.0899624189082868,0.271512962962829,-0.906183851648405,0.347537077025438,-1.60495397827888,-0.20741372501793
"6 s",-2,"Block",-0.0801939003897732,0.281281481481342,-0.914109264508841,0.347284641163778,-1.61237183482179,-0.21584669419589
"6 s",-2,"Block",-0.0704253818712596,0.291049999999856,-0.922034677369277,0.347114696939515,-1.61995555191807,-0.224113802820487
"6 s",-2,"Block",-0.060656863352746,0.30081851851837,-0.929960090229713,0.347027365544646,-1.62770537324055,-0.232214807218878
"6 s",-2,"Block",-0.0508883448342324,0.310587037036883,-0.937885503090149,0.347022709349967,-1.63562142419412,-0.240149581986173
"6 s",-2,"Block",-0.0411198263157188,0.320355555555397,-0.945810915950585,0.347100731682627,-1.64370371146848,-0.247918120432692
"6 s",-2,"Block",-0.0313513077972051,0.33012407407391,-0.95373632881102,0.347261376814247,-1.65195212301419,-0.255520534607849
"6 s",-2,"Block",-0.0215827892786915,0.339892592592424,-0.961661741671456,0.347504530159719,-1.66036642844247,-0.262957054900447
"6 s",-2,"Block",-0.0118142707601779,0.349661111110938,-0.969587154531892,0.347830018685012,-1.66894627984506,-0.27022802921872
"6 s",-2,"Block",-0.00204575224166426,0.359429629629451,-0.977512567392328,0.34823761152063,-1.67769121302775,-0.277333921756904
"6 s",-2,"Block",0.00772276627684937,0.369198148147965,-0.985437980252764,0.348727020775649,-1.68660064914703,-0.284275311358497
"6 s",-2,"Block",0.017491284795363,0.378966666666479,-0.9933633931132,0.349297902545684,-1.69567389673679,-0.291052889489605
"6 s",-2,"Block",0.0272598033138766,0.388735185184992,-1.00128880597364,0.34994985810664,-1.70491015410851,-0.297667457838756
"6 s",-2,"Block",0.0370283218323902,0.398503703703506,-1.00921421883407,0.350682435284674,-1.71430851210575,-0.304119925562396
"6 s",-2,"Block",0.0467968403509038,0.408272222222019,-1.01713963169451,0.351495129991597,-1.72386795719126,-0.310411306197754
"6 s",-2,"Block",0.0565653588694174,0.418040740740533,-1.02506504455494,0.352387387913812,-1.73358737484287,-0.31654271426702
"6 s",-2,"Block",0.0663338773879311,0.427809259259047,-1.03299045741538,0.353358606341938,-1.74346555323214,-0.32251536159862
"6 s",-2,"Block",0.0761023959064447,0.43757777777756,-1.04091587027581,0.354408136127549,-1.75350118715868,-0.328330553392945
"6 s",-2,"Block",0.0858709144249583,0.447346296296074,-1.04884128313625,0.355535283752791,-1.76369288221141,-0.333989684061094
"6 s",-2,"Block",0.0956394329434719,0.457114814814587,-1.05676669599669,0.356739313498304,-1.77403915912738,-0.339494232865988
"6 s",-2,"Block",0.105407951461986,0.466883333333101,-1.06469210885712,0.358019449694557,-1.7845384583185,-0.344845759395745
"6 s",-2,"Block",0.115176469980499,0.476651851851615,-1.07261752171756,0.359374879041697,-1.7951891445358,-0.350045898899318
"6 s",-2,"Block",0.124944988499013,0.486420370370128,-1.08054293457799,0.360804752983055,-1.80598951164175,-0.355096357514238
"6 s",-2,"Block",0.134713507017526,0.496188888888642,-1.08846834743843,0.362308190117725,-1.81693778746105,-0.359998907415804
"6 s",-2,"Block",0.14448202553604,0.505957407407156,-1.09639376029887,0.363884278637986,-1.82803213868142,-0.364755381916309
"6 s",-2,"Block",0.154250544054554,0.515725925925669,-1.1043191731593,0.365532078777886,-1.83927067577676,-0.369367670541844
"6 s",-2,"Block",0.164019062573067,0.525494444444183,-1.11224458601974,0.367250625259871,-1.85065145792647,-0.373837714113008
"6 s",-2,"Block",0.173787581091581,0.535262962962696,-1.12016999888017,0.369038929727121,-1.86217249790597,-0.378167499854378
"6 s",-2,"Block",0.183556099610094,0.54503148148121,-1.12809541174061,0.370895983149992,-1.87383176692519,-0.382359056556023
"6 s",-2,"Block",0.193324618128608,0.554799999999724,-1.13602082460104,0.372820758195877,-1.88562719939349,-0.386414449808594
"6 s",-2,"Block",0.203093136647122,0.564568518518237,-1.14394623746148,0.374812211552648,-1.89755669759124,-0.39033577733172
"6 s",-2,"Block",0.212861655165635,0.574337037036751,-1.15187165032192,0.376869286196837,-1.90961813623031,-0.394125164413521
"6 s",-2,"Block",0.222630173684149,0.584105555555265,-1.15979706318235,0.378990913598636,-1.92180936688753,-0.397784759477173
"6 s",-2,"Block",0.232398692202663,0.593874074073778,-1.16772247604279,0.38117601585676,-1.93412822229711,-0.401316729788462
"6 s",-2,"Block",0.242167210721176,0.603642592592292,-1.17564788890322,0.383423507757186,-1.94657252049003,-0.404723257316421
"6 s",-2,"Block",0.25193572923969,0.613411111110805,-1.18357330176366,0.385732298750709,-1.95914006877013,-0.408006534757191
"6 s",-2,"Block",0.261704247758203,0.623179629629319,-1.1914987146241,0.388101294845142,-1.97182866751871,-0.411168761729484
"6 s",-2,"Block",0.271472766276717,0.632948148147833,-1.19942412748453,0.390529400408898,-1.98463611382081,-0.414212141148249
"6 s",-2,"Block",0.281241284795231,0.642716666666346,-1.20734954034497,0.393015519883478,-1.99756020490845,-0.417138875781489
